file,channel,duration,start,end
datafile001.ns6,ch_25,0.0184333333333333,1.5933333333333333,1.6117666666666666
datafile001.ns6,ch_25,0.0198666666666667,3.4400666666666666,3.4599333333333333
datafile001.ns6,ch_25,0.017900000000000027,7.6527,7.6706
datafile001.ns6,ch_25,0.01966666666666761,10.510466666666666,10.530133333333334
datafile001.ns6,ch_25,0.018133333333333113,12.0177,12.035833333333333
datafile001.ns6,ch_25,0.02323333333333366,12.725,12.748233333333333
datafile001.ns6,ch_25,0.02809999999999846,28.09026666666667,28.118366666666667
datafile001.ns6,ch_25,0.03233333333333377,43.593466666666664,43.6258
datafile001.ns6,ch_25,0.019566666666662513,48.45126666666667,48.47083333333333
datafile001.ns6,ch_25,0.01853333333333751,48.6628,48.681333333333335
datafile001.ns6,ch_25,0.015166666666665662,48.689366666666665,48.70453333333333
datafile001.ns6,ch_25,0.01740000000000208,49.9038,49.9212
datafile001.ns6,ch_25,0.016100000000001558,50.044333333333334,50.060433333333336
datafile001.ns6,ch_25,0.043400000000005434,59.268966666666664,59.31236666666667
datafile001.ns6,ch_25,0.02009999999999934,63.77543333333333,63.79553333333333
datafile001.ns6,ch_25,0.015166666666672768,73.40006666666666,73.41523333333333
datafile001.ns6,ch_25,0.02223333333333244,73.721,73.74323333333334
datafile001.ns6,ch_25,0.01813333333333844,75.12456666666667,75.1427
datafile001.ns6,ch_25,0.02930000000000632,75.15793333333333,75.18723333333334
datafile001.ns6,ch_25,0.05010000000000048,75.2179,75.268
datafile001.ns6,ch_25,0.045099999999990814,75.3075,75.3526
datafile001.ns6,ch_25,0.017399999999994975,75.5703,75.5877
datafile001.ns6,ch_25,0.023333333333340533,75.92153333333333,75.94486666666667
datafile001.ns6,ch_25,0.04229999999999734,99.25406666666667,99.29636666666667
datafile001.ns6,ch_25,0.030500000000003524,99.3162,99.3467
datafile001.ns6,ch_25,0.015433333333334076,101.08023333333334,101.09566666666667
datafile001.ns6,ch_25,0.06479999999999109,107.36523333333334,107.43003333333333
datafile001.ns6,ch_25,0.032066666666665355,114.9492,114.98126666666667
datafile001.ns6,ch_25,0.017166666666668107,133.2462,133.26336666666666
datafile001.ns6,ch_25,0.018666666666661058,138.34713333333335,138.3658
datafile001.ns6,ch_25,0.03323333333332812,155.02593333333334,155.05916666666667
datafile001.ns6,ch_25,0.05953333333334854,155.07763333333332,155.13716666666667
datafile001.ns6,ch_25,0.031799999999975626,161.62026666666668,161.65206666666666
datafile001.ns6,ch_25,0.052099999999995816,189.72243333333333,189.77453333333332
datafile001.ns6,ch_25,0.04619999999999891,209.1945,209.2407
datafile001.ns6,ch_25,0.021933333333350902,209.2498,209.27173333333334
datafile001.ns6,ch_25,0.021800000000013142,212.70173333333332,212.72353333333334
datafile001.ns6,ch_25,0.021733333333344262,221.463,221.48473333333334
datafile001.ns6,ch_25,0.028033333333326027,221.6171,221.64513333333332
datafile001.ns6,ch_25,0.030300000000011096,222.29676666666666,222.32706666666667
datafile001.ns6,ch_25,0.016733333333320388,229.0363,229.05303333333333
datafile001.ns6,ch_25,0.016066666666660012,234.5637,234.57976666666667
datafile001.ns6,ch_25,0.015333333333330756,236.18263333333334,236.19796666666667
datafile001.ns6,ch_25,0.02189999999998804,236.4267,236.4486
datafile001.ns6,ch_25,0.017200000000002547,244.98723333333334,245.00443333333334
datafile001.ns6,ch_25,0.024933333333336805,248.63666666666666,248.6616
datafile001.ns6,ch_25,0.03176666666666961,254.41226666666665,254.44403333333332
datafile001.ns6,ch_25,0.015166666666630135,270.8482666666667,270.8634333333333
datafile001.ns6,ch_25,0.04210000000000491,272.24806666666666,272.29016666666666
datafile001.ns6,ch_25,0.015133333333324117,281.2450666666667,281.2602
