file,channel,duration,start,end,source
datafile002.ns6,ch_25,0.0158999999999878,175.62353333333334,175.63943333333333,Normal
datafile002.ns6,ch_25,0.0330666666666559,175.71316666666667,175.74623333333332,Normal
datafile002.ns6,ch_25,0.0164000000000044,180.45353333333333,180.46993333333333,Normal
datafile002.ns6,ch_25,0.0170666666666647,180.5093,180.52636666666663,Normal
datafile002.ns6,ch_25,0.0293000000000063,197.0846,197.1139,Normal
datafile002.ns6,ch_25,0.0317666666666625,58.22866666666667,58.26043333333333,Gauss
datafile002.ns6,ch_25,0.0152999999999963,67.73596666666667,67.75126666666667,Gauss
datafile002.ns6,ch_25,0.0242999999999966,70.07983333333334,70.10413333333334,Gauss
datafile002.ns6,ch_25,0.016933333333327,71.18253333333334,71.19946666666667,Gauss
datafile002.ns6,ch_25,0.0183666666666653,75.4549,75.47326666666666,Gauss
datafile002.ns6,ch_25,0.0165666666666624,81.65103333333333,81.6676,Gauss
datafile002.ns6,ch_25,0.0154999999999887,85.6547,85.6702,Gauss
datafile002.ns6,ch_25,0.0153666666666651,89.9818,89.99716666666667,Gauss
datafile002.ns6,ch_25,0.0197000000000002,92.4791,92.4988,Gauss
datafile002.ns6,ch_25,0.0230000000000103,92.56493333333331,92.58793333333334,Gauss
datafile002.ns6,ch_25,0.0162666666666666,92.9185,92.93476666666666,Gauss
datafile002.ns6,ch_25,0.0236000000000018,96.48833333333332,96.51193333333332,Gauss
datafile002.ns6,ch_25,0.0171666666666681,96.60793333333334,96.6251,Gauss
datafile002.ns6,ch_25,0.0290999999999996,98.66043333333332,98.68953333333332,Gauss
datafile002.ns6,ch_25,0.0174333333333294,104.1511,104.16853333333331,Gauss
datafile002.ns6,ch_25,0.0197000000000002,109.88183333333332,109.90153333333332,Gauss
datafile002.ns6,ch_25,0.0160333333333255,115.31526666666667,115.3313,Gauss
datafile002.ns6,ch_25,0.0179666666666662,126.46833333333332,126.4863,Gauss
datafile002.ns6,ch_25,0.0221333333333433,127.64363333333333,127.66576666666668,Gauss
datafile002.ns6,ch_25,0.0156000000000062,162.009,162.0246,Gauss
datafile002.ns6,ch_25,0.0150333333333492,168.63056666666665,168.6456,Gauss
datafile002.ns6,ch_25,0.0291666666666685,170.85136666666668,170.88053333333335,Gauss
datafile002.ns6,ch_25,0.0170333333333303,175.21396666666666,175.231,Gauss
datafile002.ns6,ch_25,0.0174666666666496,175.50186666666667,175.51933333333332,Gauss
datafile002.ns6,ch_25,0.0561333333333209,175.58503333333334,175.64116666666666,Gauss
datafile002.ns6,ch_25,0.02800000000002,180.44493333333327,180.47293333333332,Gauss
datafile002.ns6,ch_25,0.0331999999999936,180.49506666666667,180.52826666666667,Gauss
datafile002.ns6,ch_25,0.0161999999999977,183.48586666666668,183.50206666666668,Gauss
datafile002.ns6,ch_25,0.0182333333333133,196.9925333333333,197.01076666666663,Gauss
datafile002.ns6,ch_25,0.0451666666666881,197.0698,197.11496666666667,Gauss
datafile002.ns6,ch_25,0.0230000000000245,218.88486666666665,218.90786666666668,Gauss
datafile002.ns6,ch_25,0.0151666666666585,231.60906666666668,231.6242333333333,Gauss
