file,channel,duration,start,end
datafile001.ns6,ch_25,0.016000000000000014,3.442066666666667,3.458066666666667
datafile001.ns6,ch_25,0.015066666666666784,7.653866666666667,7.668933333333333
datafile001.ns6,ch_25,0.01609999999999978,10.511133333333333,10.527233333333333
datafile001.ns6,ch_25,0.01686666666666703,12.0175,12.034366666666667
datafile001.ns6,ch_25,0.019199999999999662,12.726133333333333,12.745333333333333
datafile001.ns6,ch_25,0.029333333333333655,43.59426666666667,43.6236
datafile001.ns6,ch_25,0.01729999999999876,48.4523,48.4696
datafile001.ns6,ch_25,0.040600000000004854,59.2707,59.3113
datafile001.ns6,ch_25,0.01659999999999684,63.7779,63.7945
datafile001.ns6,ch_25,0.019800000000003593,75.16716666666666,75.18696666666666
datafile001.ns6,ch_25,0.044866666666663946,75.22176666666667,75.26663333333333
datafile001.ns6,ch_25,0.019766666666669153,75.3193,75.33906666666667
datafile001.ns6,ch_25,0.03730000000000189,99.25763333333333,99.29493333333333
datafile001.ns6,ch_25,0.02760000000000673,99.31793333333333,99.34553333333334
datafile001.ns6,ch_25,0.034133333333329574,107.366,107.40013333333333
datafile001.ns6,ch_25,0.017533333333332735,107.40976666666667,107.4273
datafile001.ns6,ch_25,0.02773333333333028,114.952,114.97973333333333
datafile001.ns6,ch_25,0.028733333333320843,155.02863333333335,155.05736666666667
datafile001.ns6,ch_25,0.03446666666667397,155.101,155.13546666666667
datafile001.ns6,ch_25,0.029633333333322298,161.62186666666668,161.6515
datafile001.ns6,ch_25,0.04810000000000514,189.7249,189.773
datafile001.ns6,ch_25,0.041300000000006776,209.19603333333333,209.23733333333334
datafile001.ns6,ch_25,0.017299999999977445,212.70326666666668,212.72056666666666
datafile001.ns6,ch_25,0.018966666666671017,221.46496666666667,221.48393333333334
datafile001.ns6,ch_25,0.02416666666667311,221.61813333333333,221.6423
datafile001.ns6,ch_25,0.026833333333343035,222.29963333333333,222.32646666666668
datafile001.ns6,ch_25,0.018933333333336577,236.42903333333334,236.44796666666667
datafile001.ns6,ch_25,0.02356666666665319,248.6373,248.66086666666666
datafile001.ns6,ch_25,0.028199999999998226,254.41486666666665,254.44306666666665
datafile001.ns6,ch_25,0.028999999999996362,272.24913333333336,272.27813333333336
