file,channel,duration,start,end
datafile001.ns6,ch_25,0.015866666666666696,1.5942333333333334,1.6101
datafile001.ns6,ch_25,0.01650000000000018,3.4422333333333333,3.4587333333333334
datafile001.ns6,ch_25,0.01606666666666623,7.653066666666667,7.669133333333333
datafile001.ns6,ch_25,0.01810000000000045,10.511066666666666,10.529166666666667
datafile001.ns6,ch_25,0.017033333333332124,12.019066666666667,12.0361
datafile001.ns6,ch_25,0.020033333333332237,12.7253,12.745333333333333
datafile001.ns6,ch_25,0.023766666666666936,28.090766666666667,28.114533333333334
datafile001.ns6,ch_25,0.030833333333333712,43.5941,43.62493333333333
datafile001.ns6,ch_25,0.018200000000000216,48.4517,48.4699
datafile001.ns6,ch_25,0.04186666666666383,59.26976666666667,59.31163333333333
datafile001.ns6,ch_25,0.018733333333337043,63.7761,63.79483333333334
datafile001.ns6,ch_25,0.01826666666666199,73.72446666666667,73.74273333333333
datafile001.ns6,ch_25,0.020633333333336168,75.16556666666666,75.1862
datafile001.ns6,ch_25,0.0258666666666727,75.22293333333333,75.2488
datafile001.ns6,ch_25,0.015333333333330756,75.5715,75.58683333333333
datafile001.ns6,ch_25,0.037599999999997635,99.25736666666667,99.29496666666667
datafile001.ns6,ch_25,0.028099999999994907,99.31773333333334,99.34583333333333
datafile001.ns6,ch_25,0.03656666666665842,107.36576666666667,107.40233333333333
datafile001.ns6,ch_25,0.061466666666660785,107.36576666666667,107.42723333333333
datafile001.ns6,ch_25,0.028999999999996362,114.9516,114.9806
datafile001.ns6,ch_25,0.015433333333334076,133.2475,133.26293333333334
datafile001.ns6,ch_25,0.015299999999996317,138.35056666666668,138.36586666666668
datafile001.ns6,ch_25,0.02960000000001628,155.028,155.0576
datafile001.ns6,ch_25,0.041100000000000136,155.09513333333334,155.13623333333334
datafile001.ns6,ch_25,0.030733333333358814,161.62123333333332,161.65196666666668
datafile001.ns6,ch_25,0.04819999999998004,189.72473333333335,189.77293333333333
datafile001.ns6,ch_25,0.04086666666665906,209.197,209.23786666666666
datafile001.ns6,ch_25,0.01666666666667993,209.25476666666665,209.27143333333333
datafile001.ns6,ch_25,0.015766666666650053,212.70313333333334,212.7189
datafile001.ns6,ch_25,0.019000000000005457,221.46503333333334,221.48403333333334
datafile001.ns6,ch_25,0.02533333333332166,221.6177,221.64303333333334
datafile001.ns6,ch_25,0.028366666666642004,222.2983,222.32666666666665
datafile001.ns6,ch_25,0.020566666666667288,236.42766666666665,236.44823333333332
datafile001.ns6,ch_25,0.016199999999997772,244.98723333333334,245.00343333333333
datafile001.ns6,ch_25,0.024299999999982447,248.6365,248.6608
datafile001.ns6,ch_25,0.02909999999999968,254.41446666666667,254.44356666666667
datafile001.ns6,ch_25,0.030366666666679976,272.2486333333333,272.279
datafile001.ns6,ch_25,0.015366666666693618,281.2457,281.2610666666667
