Filtro,MSE (Error Cuadrático Medio),SNR (Relación Señal-Ruido),Correlación de Pearson,Signal Distortion,SDR (Relación Señal-Distorsión)
Butterworth_4,10161.569461973771,-25.13412653409444,0.06194663307391247,91457163467.03307,0.016495269215902022
Chebyshev1_4,10196.482593915516,-20.456229771938325,0.04938472793579176,91771392093.53523,0.0015993495361692127
Chebyshev2_4,10159.455827254407,-24.491588895398138,0.06336332110736752,91438140122.58202,0.01739870778322269
Elliptic_4,10161.506513477516,-24.75267940245521,0.06176665741390331,91456596911.74518,0.01652217280530034
